,0,1,2,3,4,5,6
0,9.0,6.0,0.9296988416988418,0.020725868725868724,0.9504247104247104,0.002758086075878028,1.0
1,14.0,7.0,0.7768339768339768,0.07391505791505791,0.8507490347490347,0.003574812166698187,-1.0
2,12.0,9.0,0.3483552123552124,0.23067181467181466,0.579027027027027,0.003633938829082813,-1.0
3,13.0,7.0,0.7204324324324325,0.12074131274131274,0.8411737451737452,0.0049524036322962355,-1.0
4,60.0,3.0,0.923027027027027,0.014208494208494208,0.9372355212355212,0.011500520425915513,-1.0
5,28.0,12.0,0.8904092664092664,0.014362934362934362,0.9047722007722008,0.006627682043362482,-1.0
6,22.0,4.0,0.8498223938223939,0.1069034749034749,0.9567258687258687,0.003838440358287049,-1.0
7,66.0,5.0,0.8847876447876447,0.022208494208494207,0.906996138996139,0.01710754589273189,-1.0
8,85.0,6.0,0.8731119691119691,0.02955984555984556,0.9026718146718147,0.01603044199830783,1.0
9,89.0,8.0,0.9079536679536679,0.0006177606177606178,0.9085714285714286,0.013532786601264847,1.0
10,8.0,8.0,0.9953976833976834,0.0020386100386100385,0.9974362934362935,0.0018275923479538047,1.0
11,15.0,3.0,0.5055135135135135,0.14644015444015443,0.6519536679536679,0.004848414702590338,-1.0
12,19.0,10.0,0.9795212355212355,0.0008957528957528958,0.9804169884169884,0.003843247285448571,1.0
13,5.0,2.0,0.9455135135135135,0.038548262548262546,0.984061776061776,0.003511551666507253,-1.0
14,72.0,11.0,0.8523861003861003,0.05149034749034749,0.9038764478764478,0.011060458258072826,-1.0
15,11.0,8.0,0.9017760617760617,0.02532818532818533,0.9271042471042471,0.0034446189427907513,-1.0
16,12.0,10.0,0.9729729729729729,0.021837837837837836,0.9948108108108108,0.003289638716347448,1.0
17,5.0,13.0,0.9016216216216216,0.07984555984555984,0.9814671814671815,0.002131513949228202,1.0
18,14.0,6.0,0.7777606177606177,0.07416216216216216,0.8519227799227799,0.0033067959460062473,-1.0
19,23.0,8.0,0.9941930501930502,0.00033976833976833977,0.9945328185328185,0.005531335871991187,1.0
20,10.0,7.0,0.8680772200772201,0.031042471042471043,0.8991196911196911,0.003803416973907797,-1.0
21,23.0,9.0,0.7213590733590735,0.04793822393822394,0.7692972972972973,0.005699554167687491,-1.0
22,20.0,10.0,0.7397992277992278,0.10362934362934363,0.8434285714285714,0.005452682545627346,-1.0
23,9.0,4.0,0.08315057915057911,0.9136988416988417,0.9968494208494209,0.0046835074286556465,-1.0
24,34.0,12.0,0.9599073359073359,0.03811583011583011,0.998023166023166,0.011537197335746175,-1.0
25,7.0,8.0,0.8772509652509652,0.05760617760617761,0.9348571428571428,0.0036676819238016683,-1.0
26,25.0,9.0,0.9952741312741312,0.0017297297297297297,0.997003861003861,0.007385400311109084,1.0
27,50.0,11.0,0.6211891891891892,0.26501930501930504,0.8862084942084942,0.01179708995856146,-1.0
28,9.0,2.0,0.06396911196911204,0.9108262548262548,0.9747953667953668,0.006311425102772763,-1.0
29,6.0,2.0,0.05380694980694978,0.9114749034749035,0.9652818532818532,0.004724173338630367,-1.0
30,29.0,10.0,0.9126795366795366,0.02922007722007722,0.9418996138996139,0.004244852402479477,-1.0
